         1400696121 function calls (1384122637 primitive calls) in 300.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.130    0.130  300.006  300.006 evo.py:82(evolve)
   127715    0.117    0.000  276.599    0.002 evo.py:52(run_agent)
   127715    0.265    0.000  273.039    0.002 evo.py:40(add_solution)
   127715    1.299    0.000  232.046    0.002 profiler.py:25(<lambda>)
   127715    3.744    0.000  230.747    0.002 assignta.py:16(conflicts)
   127715    0.215    0.000  153.658    0.001 _shape_base_impl.py:801(split)
   127715    4.595    0.000  153.427    0.001 _shape_base_impl.py:741(array_split)
  4680353    0.959    0.000  101.888    0.000 fromnumeric.py:551(swapaxes)
  4680353    1.421    0.000  100.929    0.000 fromnumeric.py:51(_wrapfunc)
  4680353    4.134    0.000   98.934    0.000 generic.py:817(swapaxes)
 11360526    9.078    0.000   77.660    0.000 series.py:1095(__getitem__)
  4680353    2.210    0.000   50.523    0.000 _arraysetops_impl.py:144(unique)
  4680353    2.866    0.000   47.084    0.000 generic.py:6662(copy)
  4680353    7.058    0.000   44.698    0.000 _exceptions.py:34(find_stack_level)
  9488412    3.121    0.000   37.225    0.000 {built-in method numpy.asanyarray}
  4552638    2.192    0.000   36.682    0.000 generic.py:4342(_getitem_slice)
  4552638    2.602    0.000   31.663    0.000 series.py:1087(_slice)
  9360706    5.118    0.000   29.819    0.000 generic.py:6284(__getattr__)
  4680353    3.981    0.000   26.569    0.000 managers.py:557(copy)
   127715    0.034    0.000   23.895    0.000 profiler.py:24(<lambda>)
   127715    2.533    0.000   23.861    0.000 assignta.py:7(overallocation)
 14041059   11.231    0.000   23.462    0.000 inspect.py:911(getfile)
     1282    0.030    0.000   22.904    0.018 evo.py:74(remove_dominated)
     1282    0.044    0.000   22.874    0.018 {built-in method _functools.reduce}
   172642    1.850    0.000   22.830    0.000 evo.py:70(_reduce_nds)
  9105276    4.163    0.000   22.787    0.000 base.py:5437(_can_hold_identifiers_and_holds_name)
 12678683   15.431    0.000   20.980    0.000 evo.py:60(_dominates)
  9360706    3.139    0.000   17.916    0.000 series.py:664(_constructor_from_mgr)
   127715    0.189    0.000   17.064    0.000 series.py:1155(_get_with)
   127715    0.123    0.000   16.769    0.000 indexing.py:1176(__getitem__)
  9616136   11.649    0.000   16.633    0.000 generic.py:6236(__finalize__)
   127715    0.196    0.000   16.553    0.000 indexing.py:1397(_getitem_axis)
   127715    0.117    0.000   15.856    0.000 indexing.py:1334(_getitem_iterable)
278518551   13.387    0.000   14.811    0.000 {built-in method builtins.isinstance}
   127715    0.078    0.000   14.073    0.000 profiler.py:26(<lambda>)
   127715    0.235    0.000   13.995    0.000 assignta.py:30(undersupport)
  4680353    4.233    0.000   13.541    0.000 managers.py:317(apply)
   127715    0.085    0.000   12.919    0.000 indexing.py:1532(_get_listlike_indexer)
   127715    0.299    0.000   12.755    0.000 base.py:6186(_get_indexer_strict)
  4552638    6.033    0.000   12.242    0.000 managers.py:1974(get_slice)
  4680353    7.534    0.000   10.527    0.000 _arraysetops_impl.py:342(_unique1d)
  9105276    2.057    0.000   10.273    0.000 common.py:536(is_string_dtype)
  9360706    2.391    0.000   10.220    0.000 generic.py:339(_from_mgr)
  4680353    0.857    0.000    8.058    0.000 managers.py:583(copy_func)
  5364030    1.916    0.000    7.953    0.000 fromnumeric.py:2255(sum)
  9616136    2.640    0.000    7.915    0.000 common.py:137(is_object_dtype)
   255430    0.624    0.000    7.898    0.000 base.py:3820(get_indexer)
  9105276    2.061    0.000    7.718    0.000 common.py:1375(_is_dtype)
  9616136    5.184    0.000    7.517    0.000 base.py:649(_simple_new)
  9616136    6.066    0.000    7.332    0.000 generic.py:278(__init__)
  4680353    1.420    0.000    7.202    0.000 base.py:1010(view)
55671326/39459112    4.611    0.000    7.130    0.000 {built-in method builtins.len}
   255430    1.011    0.000    6.772    0.000 series.py:389(__init__)
   127715    0.066    0.000    6.666    0.000 common.py:62(new_method)
